user_id	item_id	timestamp	correct	skill_id
0	1633	0	0	16
0	1627	0	1	12
0	1604	0	0	6
0	1630	0	1	1
0	1613	0	0	21
0	1632	0	0	17
0	1638	0	1	11
0	1624	0	0	18
0	1619	0	0	19
0	1611	0	1	20
0	1639	0	0	16
0	1608	0	1	1
0	1616	0	1	12
0	1641	0	1	30
0	1643	0	0	11
0	1618	0	1	28
0	1614	0	1	26
0	1615	0	1	4
0	1629	0	0	12
0	1622	0	0	30
0	1620	0	0	1
0	1625	0	1	18
0	1623	0	0	1
0	1634	0	0	14
0	1621	0	0	14
0	1628	0	0	18
0	1605	0	0	5
0	1603	0	0	5
0	1602	0	0	6
0	1637	0	0	15
0	1601	0	0	6
0	1645	0	0	9
0	1609	0	1	28
0	1606	0	1	22
0	1612	0	1	30
0	1635	0	0	16
0	1642	0	0	27
0	1626	0	0	1
0	1636	0	0	15
0	1607	0	1	24
0	1610	0	1	23
0	1644	0	0	9
0	1617	0	0	15
0	1640	0	0	15
0	1631	0	0	12
1	1634	0	1	14
1	1638	0	1	11
1	1629	0	0	12
1	1619	0	0	19
1	1623	0	0	1
1	1615	0	1	4
1	1617	0	1	15
1	1604	0	0	6
1	1607	0	1	24
1	1642	0	1	27
1	1616	0	0	12
1	1626	0	0	1
1	1625	0	0	18
1	1644	0	1	9
1	1637	0	0	15
1	1609	0	0	28
1	1602	0	0	6
1	1639	0	0	16
1	1635	0	0	16
1	1621	0	1	14
1	1613	0	1	21
1	1645	0	1	9
1	1608	0	0	1
1	1612	0	0	30
1	1643	0	0	11
1	1628	0	1	18
1	1641	0	0	30
1	1636	0	0	15
1	1618	0	0	28
1	1632	0	0	17
1	1622	0	0	30
1	1601	0	0	6
1	1633	0	0	16
1	1640	0	0	15
1	1606	0	1	22
1	1620	0	0	1
1	1611	0	1	20
1	1603	0	0	5
1	1614	0	0	26
1	1631	0	0	12
1	1610	0	0	23
1	1605	0	0	5
1	1630	0	0	1
1	1627	0	0	12
1	1624	0	0	18
2	1610	0	0	23
2	1617	0	1	15
2	1619	0	0	19
2	1645	0	0	9
2	1615	0	1	4
2	1624	0	0	18
2	1601	0	0	6
2	1644	0	0	9
2	1629	0	1	12
2	1603	0	0	5
2	1633	0	0	16
2	1608	0	0	1
2	1612	0	0	30
2	1622	0	1	30
2	1602	0	1	6
2	1636	0	0	15
2	1611	0	1	20
2	1614	0	0	26
2	1639	0	1	16
2	1628	0	0	18
2	1609	0	0	28
2	1625	0	1	18
2	1626	0	1	1
2	1620	0	0	1
2	1623	0	1	1
2	1607	0	0	24
2	1630	0	0	1
2	1627	0	1	12
2	1643	0	1	11
2	1606	0	0	22
2	1635	0	1	16
2	1605	0	1	5
2	1640	0	0	15
2	1616	0	1	12
2	1641	0	0	30
2	1613	0	1	21
2	1631	0	0	12
2	1632	0	0	17
2	1604	0	0	6
2	1638	0	0	11
2	1642	0	0	27
2	1634	0	0	14
2	1637	0	1	15
2	1621	0	0	14
2	1618	0	1	28
3	1632	0	0	17
3	1613	0	0	21
3	1638	0	0	11
3	1634	0	0	14
3	1639	0	0	16
3	1608	0	0	1
3	1629	0	0	12
3	1607	0	1	24
3	1622	0	0	30
3	1641	0	1	30
3	1620	0	0	1
3	1626	0	0	1
3	1609	0	1	28
3	1625	0	1	18
3	1605	0	0	5
3	1612	0	1	30
3	1604	0	0	6
3	1611	0	0	20
3	1606	0	0	22
3	1619	0	1	19
3	1633	0	1	16
3	1627	0	0	12
3	1636	0	1	15
3	1645	0	0	9
3	1614	0	1	26
3	1628	0	0	18
3	1617	0	1	15
3	1610	0	1	23
3	1640	0	0	15
3	1635	0	0	16
3	1642	0	0	27
3	1643	0	0	11
3	1615	0	0	4
3	1624	0	1	18
3	1637	0	1	15
3	1602	0	0	6
3	1618	0	0	28
3	1623	0	1	1
3	1616	0	1	12
3	1630	0	1	1
3	1603	0	0	5
3	1631	0	0	12
3	1644	0	0	9
3	1601	0	0	6
3	1621	0	0	14
4	1631	0	0	12
4	1618	0	0	28
4	1607	0	1	24
4	1613	0	1	21
4	1617	0	0	15
4	1628	0	1	18
4	1615	0	0	4
4	1622	0	1	30
4	1635	0	0	16
4	1626	0	0	1
4	1636	0	0	15
4	1605	0	0	5
4	1645	0	1	9
4	1627	0	0	12
4	1643	0	0	11
4	1608	0	0	1
4	1606	0	1	22
4	1642	0	0	27
4	1604	0	0	6
4	1633	0	0	16
4	1639	0	0	16
4	1629	0	1	12
4	1612	0	1	30
4	1609	0	1	28
4	1614	0	1	26
4	1640	0	0	15
4	1634	0	1	14
4	1611	0	1	20
4	1624	0	1	18
4	1620	0	1	1
4	1632	0	0	17
4	1603	0	0	5
4	1625	0	0	18
4	1616	0	1	12
4	1601	0	0	6
4	1644	0	1	9
4	1641	0	0	30
4	1602	0	0	6
4	1638	0	0	11
4	1610	0	0	23
4	1619	0	0	19
4	1637	0	0	15
4	1623	0	0	1
4	1621	0	0	14
4	1630	0	0	1
